fold,participant,accuracy,f1_score,auc,model,best_params
0.0,vp01,0.525,0.38660209846650523,0.53125,RandomForest,
1.0,vp02,0.5609756097560976,0.5383275261324041,0.6066176470588236,RandomForest,
2.0,vp03,0.45,0.4270833333333333,0.44125000000000003,RandomForest,
3.0,vp04,0.5,0.4791666666666667,0.4262499999999999,RandomForest,
4.0,vp05,0.55,0.53125,0.4925,RandomForest,
0.0,vp01,0.6,0.5833333333333333,0.5650000000000001,XGBoost,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}"
1.0,vp02,0.5365853658536586,0.4689684921904488,0.49264705882352944,XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 600}"
2.0,vp03,0.325,0.3036750483558994,0.3950000000000001,XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
3.0,vp04,0.425,0.3943383805134958,0.44750000000000006,XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}"
4.0,vp05,0.475,0.4129979035639413,0.4225,XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 400}"
0.0,vp01,0.55,0.5396419437340153,0.5750000000000001,XGBoost_Augmented,
1.0,vp02,0.5365853658536586,0.524338973119461,0.5661764705882353,XGBoost_Augmented,
2.0,vp03,0.55,0.4642857142857143,0.5,XGBoost_Augmented,
3.0,vp04,0.475,0.4666666666666666,0.5125,XGBoost_Augmented,
4.0,vp05,0.475,0.43204868154158216,0.4525,XGBoost_Augmented,
0.0,vp01,0.5004112821313033,0.40032902570504264,0.5000411282131303,SimpleEEGNet,
1.0,vp02,0.483266863868378,0.38661349109470244,0.4983266863868378,SimpleEEGNet,
2.0,vp03,0.5044875905287187,0.403590072422975,0.5004487590528719,SimpleEEGNet,
3.0,vp04,0.5281218061230166,0.42249744489841334,0.5028121806123017,SimpleEEGNet,
4.0,vp05,0.48067785888246994,0.384542287105976,0.498067785888247,SimpleEEGNet,
,MEAN,0.5171951219512195,0.4724859249197818,0.49957352941176475,RandomForest,
,STD,0.04434147012262153,0.06570843220163308,0.0729552101952745,RandomForest,
,MEAN,0.47231707317073174,0.4326626315914237,0.4645294117647059,XGBoost,
,STD,0.10533490257919371,0.1030934312350398,0.06666286934110269,XGBoost,
,MEAN,0.5173170731707317,0.48539639586948785,0.521235294117647,XGBoost_Augmented,
,STD,0.03901629108027721,0.04500429435883644,0.050403711862819923,XGBoost_Augmented,
,MEAN,0.4993930803067773,0.3995144642454219,0.49993930803067776,SimpleEEGNet,
,STD,0.01912226990945728,0.01529781592756583,0.0019122269909457403,SimpleEEGNet,
